Title,Release Date,Rating,Review,Recommendation
Be Natural: The Untold Story of Alice Guy-Blaché,2019,6.3,average,Not Recommended
Dolemite Is My Name,2019,7.5,good,Recommended
A Prayer Before Dawn,2018,7.0,average,Recommended
I Carry You with Me,2021,6.3,average,Not Recommended
Corsage,2022,6.3,average,Not Recommended
Red Rocket,2021,7.2,average,Recommended
The White Tiger,2021,6.9,average,Recommended
I Am: Celine Dion,2024,7.8,good,Recommended
Outside In,2018,7.3,average,Recommended
Zappa,2020,7.3,average,Recommended
All Quiet on the Western Front,2022,8.2,good,Recommended
The Trial of the Chicago 7,2020,7.5,good,Recommended
A Cop Movie,2021,7.3,average,Recommended
Flora and Son,2023,7.2,average,Recommended
Citizen K,2019,6.5,average,Recommended
The Breaker Upperers,2019,6.3,average,Not Recommended
The Meaning of Hitler,2021,2.8,bad,Not Recommended
Calibre,2018,6.4,average,Not Recommended
Hail Satan?,2019,6.0,average,Not Recommended
The Whistlers,2020,6.5,average,Recommended
Lovely Rita (2001),2024,5.7,average,Not Recommended
Zola,2021,6.2,average,Not Recommended
Talk to Me,2023,6.3,average,Not Recommended
Occupied City,2023,8.9,good,Recommended
Rojo,2019,6.6,average,Recommended
Mucho Mucho Amor,2020,6.3,average,Not Recommended
The Hand of God,2021,7.4,average,Recommended
The Wild Goose Lake,2020,6.8,average,Recommended
Murina,2022,5.1,average,Not Recommended
Something in the Dirt,2022,5.3,average,Not Recommended
Temblores,2019,5.1,average,Not Recommended
Spencer,2021,6.8,average,Recommended
The Image Book,2019,5.8,average,Not Recommended
The Kingmaker,2019,6.3,average,Not Recommended
Incredible But True,2022,7.0,average,Recommended
Cassandro,2023,6.3,average,Not Recommended
House Party,2023,7.3,average,Recommended
No Sudden Move,2021,6.1,average,Not Recommended
Nostalgia,2023,3.8,bad,Not Recommended
Nostalgia,2018,3.8,bad,Not Recommended
Pass Over,2018,4.0,bad,Not Recommended
At Eternity's Gate,2018,7.2,average,Recommended
Chevalier,2023,4.0,bad,Not Recommended
The Godfather Coda: The Death of Michael Corleone,2020,7.9,good,Recommended
King Richard,2021,6.6,average,Recommended
Pray Away,2021,6.1,average,Not Recommended
Shirley,2020,6.5,average,Recommended
Shirley,2024,6.5,average,Recommended
Howard,2020,6.8,average,Recommended
Holler,2021,5.7,average,Not Recommended
Tigers Are Not Afraid,2019,7.1,average,Recommended
El Planeta,2021,6.3,average,Not Recommended
Music,2024,6.4,average,Not Recommended
Music,2021,6.4,average,Not Recommended
Sharkwater Extinction,2019,7.8,good,Recommended
The Woman King,2022,3.0,bad,Not Recommended
Lunana: A Yak in the Classroom,2022,7.7,good,Recommended
Cold Case Hammarskjöld,2019,7.0,average,Recommended
American Symphony,2023,5.3,average,Not Recommended
Asteroid City,2023,6.8,average,Recommended
How to Blow Up a Pipeline,2023,6.1,average,Not Recommended
The Truth,2020,6.9,average,Recommended
"Paris, 13th District",2022,6.4,average,Not Recommended
Nothing Compares,2022,6.8,average,Recommended
Mars Express,2024,7.7,good,Recommended
Final Account,2021,7.6,good,Recommended
Farewell Amor,2020,7.0,average,Recommended
A Family Affair,2024,4.3,bad,Not Recommended
Border,2018,6.4,average,Not Recommended
Emily the Criminal,2022,6.8,average,Recommended
Ennio,2024,7.4,average,Recommended
Bodied,2018,8.1,good,Recommended
"Ruben Brandt, Collector",2019,8.0,good,Recommended
My Little Sister,2021,3.0,bad,Not Recommended
Capernaum,2018,8.3,good,Recommended
José,2020,7.0,average,Recommended
Pacifiction,2023,6.9,average,Recommended
Joan Baez I Am A Noise,2023,9.4,good,Recommended
Joy Ride,2023,7.9,good,Recommended
Undine,2021,6.8,average,Recommended
Under the Tree,2018,5.7,average,Not Recommended
Zombi Child,2020,6.5,average,Recommended
Nothing Lasts Forever,2022,7.0,average,Recommended
The Two Popes,2019,7.6,good,Recommended
Stamped from the Beginning,2023,6.3,average,Not Recommended
Free Time,2024,9.7,good,Recommended
Fyre,2019,7.6,good,Recommended
In Flames,2024,6.3,average,Not Recommended
The French Dispatch,2021,7.0,average,Recommended
Under The Wire,2018,6.6,average,Recommended
Jinn,2018,3.7,bad,Not Recommended
Fever Dream,2021,5.7,average,Not Recommended
Benedetta,2021,6.8,average,Recommended
A Wounded Fawn,2022,6.4,average,Not Recommended
Tully,2018,3.7,bad,Not Recommended
Pleasure,2022,6.0,average,Not Recommended
Dirty God,2020,9.6,good,Recommended
Nimona,2023,7.3,average,Recommended
"Nico, 1988",2018,6.3,average,Not Recommended
A Chiara,2022,6.4,average,Not Recommended
Leap of Faith: William Friedkin on the Exorcist,2020,9.3,good,Recommended
The Escape,2018,6.0,average,Not Recommended
Belfast,2021,6.7,average,Recommended
Civil War,2024,6.3,average,Not Recommended
Blindspotting,2018,7.5,good,Recommended
A Private War,2018,7.0,average,Recommended
Tony Hawk: Until the Wheels Fall Off,2022,7.1,average,Recommended
By the Grace of God,2019,7.4,average,Recommended
Martin Eden,2020,7.2,average,Recommended
The Eyes of Orson Welles,2019,7.4,average,Recommended
Frida,2024,7.0,average,Recommended
When Evil Lurks,2023,7.0,average,Recommended
Whitney,2018,7.6,good,Recommended
Polite Society,2023,6.5,average,Recommended
Thoroughbreds,2018,7.0,average,Recommended
The Bob's Burgers Movie,2022,7.3,average,Recommended
Monica,2023,5.4,average,Not Recommended
Origin,2023,7.1,average,Recommended
Point Blank,2019,7.3,average,Recommended
Grace Jones: Bloodlight and Bami,2018,7.3,average,Recommended
Full River Red,2023,6.2,average,Not Recommended
Titane,2021,7.4,average,Recommended
Hatching,2022,6.6,average,Recommended
Hala,2019,3.9,bad,Not Recommended
Diamantino,2019,7.2,average,Recommended
True History of the Kelly Gang,2020,5.5,average,Not Recommended
Mandibles,2021,6.7,average,Recommended
The Monk and the Gun,2024,7.1,average,Recommended
They Cloned Tyrone,2023,6.6,average,Recommended
I Kill Giants,2018,6.7,average,Recommended
Citizen Ashe,2021,4.0,bad,Not Recommended
The Kid Detective,2020,7.1,average,Recommended
The Mission,2023,8.4,good,Recommended
Children of the Sea,2020,6.8,average,Recommended
Beans,2021,7.8,good,Recommended
Strawberry Mansion,2022,8.0,good,Recommended
Bottoms,2023,6.8,average,Recommended
I Used to Be Funny,2024,6.9,average,Recommended
Beastie Boys Story,2020,7.3,average,Recommended
On the Count of Three,2022,6.3,average,Not Recommended
The Sea Beast,2022,7.3,average,Recommended
Gagarine,2022,6.9,average,Recommended
Raya and the Last Dragon,2021,6.8,average,Recommended
Burning Cane,2019,3.8,bad,Not Recommended
Scarlet,2023,7.7,good,Recommended
The Burial,2023,6.7,average,Recommended
Jawline,2019,3.8,bad,Not Recommended
Smoking Causes Coughing,2023,4.9,bad,Not Recommended
Catherine Called Birdy,2022,6.7,average,Recommended
Mary and The Witch's Flower,2018,6.8,average,Recommended
The Cakemaker,2018,7.7,good,Recommended
Jackass Forever,2022,6.7,average,Recommended
Serenity,2019,7.3,average,Recommended
The Three Musketeers - Part 2: Milady,2024,7.1,average,Recommended
Bones and All,2022,6.7,average,Recommended
The Bleeding Edge,2018,7.7,good,Recommended
Dune: Part One,2021,7.9,good,Recommended
The Invitation,2022,7.0,average,Recommended
Roxanne Roxanne,2018,6.1,average,Not Recommended
They Shot the Piano Player,2023,6.2,average,Not Recommended
The Half of It,2020,7.9,good,Recommended
Armageddon Time,2022,6.6,average,Recommended
2nd Chance,2022,9.5,good,Recommended
Plan B,2021,6.4,average,Not Recommended
Colette,2018,6.9,average,Recommended
The Workshop,2018,6.3,average,Not Recommended
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,5.7,average,Not Recommended
Disobedience,2018,7.2,average,Recommended
Becoming Cousteau,2021,7.2,average,Recommended
"Love, Gilda",2018,7.6,good,Recommended
Sylvie's Love,2020,6.8,average,Recommended
Assassins,2020,5.5,average,Not Recommended
Plan C,2023,6.3,average,Not Recommended
Robin Williams: Come Inside My Mind,2018,7.5,good,Recommended
A Couple,2022,9.3,good,Recommended
In Darkness,2018,7.0,average,Recommended
Father Soldier Son,2020,6.2,average,Not Recommended
Scrapper,2023,7.3,average,Recommended
Circus of Books,2020,6.9,average,Recommended
Enemies of the State,2021,4.8,bad,Not Recommended
Egg,2019,4.0,bad,Not Recommended
See You Yesterday,2019,4.8,bad,Not Recommended
The Stranger,2022,5.0,average,Not Recommended
Cryptozoo,2021,5.1,average,Not Recommended
My Father's Dragon,2022,6.7,average,Recommended
The Duke,2021,7.3,average,Recommended
The Secret Garden,2020,7.8,good,Recommended
You Are Not My Mother,2022,5.7,average,Not Recommended
Crazy Rich Asians,2018,6.7,average,Recommended
Dream Scenario,2023,6.8,average,Recommended
Wild Nights with Emily,2019,6.6,average,Recommended
Bad Hair,2020,5.6,average,Not Recommended
Sweat,2021,5.4,average,Not Recommended
Kill,2024,7.2,average,Recommended
She Is Conann,2024,4.5,bad,Not Recommended
She Said,2022,5.4,average,Not Recommended
Beast,2018,6.9,average,Recommended
Beast,2022,6.9,average,Recommended
Little Woods,2019,5.6,average,Not Recommended
Utama,2022,6.2,average,Not Recommended
Albert Brooks: Defending My Life,2023,8.4,good,Recommended
Bad Luck Banging or Loony Porn,2021,6.7,average,Recommended
Música,2024,6.9,average,Recommended
End of Sentence,2020,7.4,average,Recommended
Tehran Taboo,2018,6.0,average,Not Recommended
Wild Indian,2021,5.7,average,Not Recommended
The Crime Is Mine,2023,7.5,good,Recommended
Some Kind of Heaven,2021,4.5,bad,Not Recommended
The Surrogate,2020,7.6,good,Recommended
Palm Trees and Power Lines,2023,6.1,average,Not Recommended
Miss Juneteenth,2020,6.0,average,Not Recommended
Unicorn Wars,2023,7.1,average,Recommended
The Party,2018,6.2,average,Not Recommended
The Iron Claw,2023,8.1,good,Recommended
Keep the Change,2018,7.8,good,Recommended
Who We Are: A Chronicle of Racism in America,2022,5.5,average,Not Recommended
Woodstock 99: Peace Love and Rage,2021,3.5,bad,Not Recommended
Concrete Utopia,2023,6.3,average,Not Recommended
Val,2021,7.8,good,Recommended
Robin's Wish,2020,7.0,average,Recommended
Mystify: Michael Hutchence,2020,7.3,average,Recommended
Filmworker,2018,7.4,average,Recommended
She Will,2022,6.2,average,Not Recommended
Werewolf,2018,5.8,average,Not Recommended
Inside Out 2,2024,5.7,average,Not Recommended
The Fall Guy,2024,6.8,average,Recommended
Creed III,2023,6.8,average,Recommended
The Biggest Little Farm,2019,7.3,average,Recommended
Spaceship Earth,2020,8.0,good,Recommended
The World Is Yours,2018,5.2,average,Not Recommended
A Disturbance in the Force,2023,5.0,average,Not Recommended
The World to Come,2021,6.7,average,Recommended
Host,2020,6.3,average,Not Recommended
Air,2023,5.4,average,Not Recommended
John Wick: Chapter 3 - Parabellum,2019,7.7,good,Recommended
Sorry Angel,2019,7.9,good,Recommended
Supernova,2021,6.3,average,Not Recommended
Lucy and Desi,2022,6.3,average,Not Recommended
Five Fingers For Marseilles,2018,7.8,good,Recommended
The Platform,2020,6.9,average,Recommended
Montana Story,2022,6.3,average,Not Recommended
Emergency,2022,7.4,average,Recommended
Never Gonna Snow Again,2021,7.7,good,Recommended
Funny Pages,2022,6.4,average,Not Recommended
Anaïs in Love,2022,5.7,average,Not Recommended
Puss in Boots: The Last Wish,2022,8.5,good,Recommended
Honey Boy,2019,7.3,average,Recommended
Ferrari,2023,6.9,average,Recommended
News of the World,2020,6.9,average,Recommended
National Anthem,2024,7.7,good,Recommended
Girl,2019,6.1,average,Not Recommended
Journey's End,2018,6.4,average,Not Recommended
Both Sides of the Blade,2022,6.6,average,Recommended
Share,2019,5.4,average,Not Recommended
Hive,2021,6.5,average,Recommended
Dead Pigs,2021,5.8,average,Not Recommended
The Inspection,2022,7.0,average,Recommended
The Devil's Bath,2024,7.7,good,Recommended
The Adults,2023,6.7,average,Recommended
Fire Will Come,2020,8.4,good,Recommended
Dark Waters,2019,7.9,good,Recommended
Athena,2022,5.6,average,Not Recommended
In My Mother's Skin,2023,5.6,average,Not Recommended
Coded Bias,2020,8.6,good,Recommended
The Dig,2021,6.8,average,Recommended
Good Manners,2018,7.3,average,Recommended
CODA,2021,8.0,good,Recommended
Fire Island,2022,7.9,good,Recommended
Will-o'-the-Wisp,2023,2.0,bad,Not Recommended
Bros,2022,4.0,bad,Not Recommended
Roald Dahl's Matilda The Musical,2022,7.0,average,Recommended
Ammonite,2020,9.0,good,Recommended
Skate Kitchen,2018,7.0,average,Recommended
The Last Stop in Yuma County,2024,6.2,average,Not Recommended
The Insult,2018,8.0,good,Recommended
Fremont,2023,7.9,good,Recommended
Where Is Kyra?,2018,6.8,average,Recommended
Shithouse,2020,7.6,good,Recommended
Milli Vanilli,2023,7.0,average,Recommended
Family Portrait,2024,1.8,bad,Not Recommended
Nanny,2022,5.1,average,Not Recommended
American Pain,2023,9.2,good,Recommended
Brittany Runs A Marathon,2019,6.2,average,Not Recommended
Sea of Shadows,2019,7.4,average,Recommended
Promising Young Woman,2020,7.2,average,Recommended
"Love, Simon",2018,8.1,good,Recommended
Belushi,2020,7.0,average,Recommended
M3GAN,2023,6.6,average,Recommended
Blow the Man Down,2020,5.3,average,Not Recommended
His House,2020,6.9,average,Recommended
Cairo Conspiracy,2023,6.6,average,Recommended
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021,8.1,good,Recommended
Let Them All Talk,2020,6.3,average,Not Recommended
Am I OK?,2024,8.0,good,Recommended
7 Days,2022,6.9,average,Recommended
Meeting Gorbachev,2019,6.6,average,Recommended
Nine Days,2021,7.2,average,Recommended
Mike Wallace Is Here,2019,6.8,average,Recommended
Weathering with You,2020,8.4,good,Recommended
Infinity Pool,2023,5.7,average,Not Recommended
Piggy,2022,6.3,average,Not Recommended
Heavy Trip,2018,5.8,average,Not Recommended
Screwball,2019,8.0,good,Recommended
Luce,2019,7.2,average,Recommended
Extra Ordinary,2020,6.6,average,Recommended
Fireball: Visitors from Darker Worlds,2020,9.3,good,Recommended
Dark Money,2018,7.9,good,Recommended
Hellboy,2019,7.6,good,Recommended
The Outwaters,2023,3.3,bad,Not Recommended
The Painted Bird,2020,5.7,average,Not Recommended
The Mad Women's Ball,2021,5.7,average,Not Recommended
Four Hours at the Capitol,2021,5.1,average,Not Recommended
Saturday Church,2018,6.8,average,Recommended
Master Z: Ip Man Legacy,2019,6.6,average,Recommended
Orion and the Dark,2024,4.1,bad,Not Recommended
Possessor Uncut,2020,6.9,average,Recommended
Alice,2020,6.0,average,Not Recommended
Alice,2022,6.0,average,Not Recommended
The African Desperate,2022,4.5,bad,Not Recommended
The Beta Test,2021,7.0,average,Recommended
El Camino: A Breaking Bad Movie,2019,7.5,good,Recommended
Candyman,2021,8.4,good,Recommended
Golden Exits,2018,5.9,average,Not Recommended
Sirens,2022,6.5,average,Recommended
El Conde,2023,6.1,average,Not Recommended
Midsommar,2019,6.5,average,Recommended
The Dark and the Wicked,2020,6.7,average,Recommended
Society of the Snow,2023,6.8,average,Recommended
Summertime,2021,6.6,average,Recommended
Watcher,2022,7.4,average,Recommended
The Suicide Squad,2021,6.9,average,Recommended
The Day After,2018,7.6,good,Recommended
Maquia: When the Promised Flower Blooms,2018,8.1,good,Recommended
Late Night with the Devil,2024,7.0,average,Recommended
VFW,2020,5.1,average,Not Recommended
Mulan,2020,8.3,good,Recommended
Eileen,2023,6.3,average,Not Recommended
The Kill Team,2019,7.2,average,Recommended
Bobi Wine: The People's President,2023,6.4,average,Not Recommended
The Invisible Man,2020,6.9,average,Recommended
The Batman,2022,7.5,good,Recommended
Arctic,2019,6.2,average,Not Recommended
Tyrel,2018,4.5,bad,Not Recommended
Brooklyn 45,2023,5.4,average,Not Recommended
Sick of Myself,2023,7.0,average,Recommended
Mogul Mowgli,2021,6.7,average,Recommended
Maria by Callas,2018,6.7,average,Recommended
Shang-Chi and the Legend of the Ten Rings,2021,7.0,average,Recommended
Luca,2021,7.6,good,Recommended
Prey,2022,4.4,bad,Not Recommended
Searching,2018,7.9,good,Recommended
"MoviePass, MovieCrash",2024,6.8,average,Recommended
The Menu,2022,6.8,average,Recommended
Catch the Fair One,2022,6.7,average,Recommended
Ema,2021,5.5,average,Not Recommended
Jujutsu Kaisen 0: The Movie,2022,7.7,good,Recommended
Rock Hudson: All That Heaven Allowed,2023,7.6,good,Recommended
Spider-Man: No Way Home,2021,8.5,good,Recommended
Ralph Breaks the Internet,2018,6.3,average,Not Recommended
Proxima,2020,9.5,good,Recommended
Lorelei,2021,5.8,average,Not Recommended
Eternal Spring,2022,8.0,good,Recommended
1985,2018,7.0,average,Recommended
Divide and Conquer: The Story of Roger Ailes,2018,6.9,average,Recommended
Everybody's Everything,2019,7.6,good,Recommended
Escape from Mogadishu,2021,7.0,average,Recommended
The Land of Steady Habits,2018,6.0,average,Not Recommended
Frybread Face and Me,2023,9.4,good,Recommended
Gemini,2018,5.9,average,Not Recommended
The Score,2022,8.1,good,Recommended
A Quiet Place Part II,2021,7.2,average,Recommended
Anthropocene: The Human Epoch,2019,3.3,bad,Not Recommended
The Outpost,2020,7.1,average,Recommended
The Booksellers,2020,7.0,average,Recommended
How to Train Your Dragon: The Hidden World,2019,8.0,good,Recommended
The Wonder,2022,6.7,average,Recommended
Emma.,2020,8.0,good,Recommended
Falcon Lake,2023,7.8,good,Recommended
Disco Boy,2024,5.4,average,Not Recommended
Becoming Astrid,2018,7.2,average,Recommended
"No Date, No Signature",2018,8.0,good,Recommended
The Caine Mutiny Court-Martial,2023,6.6,average,Recommended
Babes,2024,5.6,average,Not Recommended
The Perfect Candidate,2021,5.6,average,Not Recommended
All My Friends Hate Me,2022,6.9,average,Recommended
Revoir Paris,2023,5.0,average,Not Recommended
RBG,2018,6.6,average,Recommended
Wild Men,2022,7.4,average,Recommended
The Third Wife,2019,7.7,good,Recommended
The Survivor,2022,6.6,average,Recommended
Eternal Beauty,2020,7.2,average,Recommended
Billie,2020,5.0,average,Not Recommended
Euthanizer,2018,5.3,average,Not Recommended
Kusama - Infinity,2018,8.5,good,Recommended
Blinded by the Light,2019,6.7,average,Recommended
Come As You Are,2020,6.8,average,Recommended
Pasolini,2019,7.3,average,Recommended
Breath,2018,8.1,good,Recommended
"Yes, God, Yes",2020,6.0,average,Not Recommended
Tape,2020,7.3,average,Recommended
Lucky Grandma,2020,7.4,average,Recommended
Next Goal Wins,2023,5.4,average,Not Recommended
Tuesday,2024,9.0,good,Recommended
Dogman,2019,8.0,good,Recommended
Preparations to be Together for an Unknown Period of Time,2021,7.3,average,Recommended
Cam,2018,6.5,average,Recommended
Sweetheart,2019,5.2,average,Not Recommended
Sweetheart,2023,5.2,average,Not Recommended
Undergods,2021,6.5,average,Recommended
The Great Buster: A Celebration,2018,8.1,good,Recommended
Shazam!,2019,7.8,good,Recommended
Vesper,2022,5.9,average,Not Recommended
Theater Camp,2023,7.1,average,Recommended
Where's My Roy Cohn?,2019,6.3,average,Not Recommended
Memory: The Origins of Alien,2019,6.6,average,Recommended
Fauci,2021,0.6,bad,Not Recommended
Ordinary Love,2020,7.2,average,Recommended
My Hero Academia: Heroes Rising,2020,7.9,good,Recommended
The Bikeriders,2024,6.4,average,Not Recommended
Molli and Max in the Future,2024,8.4,good,Recommended
Sisu,2023,6.4,average,Not Recommended
Resurrection,2022,6.1,average,Not Recommended
Final Portrait,2018,5.7,average,Not Recommended
Her Smell,2019,4.2,bad,Not Recommended
A Ciambra,2018,6.7,average,Recommended
Sword of Trust,2019,7.0,average,Recommended
Monkey Man,2024,6.9,average,Recommended
Capital in the Twenty-First Century,2020,5.6,average,Not Recommended
Herself,2020,7.3,average,Recommended
Ant-Man and the Wasp,2018,7.0,average,Recommended
Infested,2024,5.5,average,Not Recommended
John Lewis: Good Trouble,2020,8.2,good,Recommended
Paddleton,2019,7.4,average,Recommended
Of Fathers and Sons,2018,6.7,average,Recommended
Together Together,2021,7.0,average,Recommended
Far from the Tree,2018,7.6,good,Recommended
Who You Think I Am,2021,7.5,good,Recommended
Black Widow,2021,6.0,average,Not Recommended
Elephant,2020,7.2,average,Recommended
Mrs. Harris Goes to Paris,2022,6.5,average,Recommended
The 12th Man,2018,7.8,good,Recommended
The Dead Don't Hurt,2024,6.0,average,Not Recommended
Brother,2023,7.1,average,Recommended
Rebuilding Paradise,2020,5.7,average,Not Recommended
Tel Aviv on Fire,2019,7.0,average,Recommended
Sidney,2022,5.9,average,Not Recommended
Nightmare Alley,2021,7.0,average,Recommended
Rotting in the Sun,2023,7.2,average,Recommended
The Quake,2018,5.1,average,Not Recommended
Radical,2023,6.3,average,Not Recommended
Studio 54,2018,6.2,average,Not Recommended
The Cat Returns (2002),2018,7.1,average,Recommended
Ted K,2022,5.6,average,Not Recommended
Benjamin,2020,3.3,bad,Not Recommended
MATANGI/MAYA/M.I.A.,2018,8.3,good,Recommended
Alone,2020,6.5,average,Recommended
Beavis and Butt-Head Do the Universe,2022,7.6,good,Recommended
Late Night,2019,6.0,average,Not Recommended
Weird: The Al Yankovic Story,2022,7.1,average,Recommended
Billie Eilish: The World's a Little Blurry,2021,8.2,good,Recommended
The Boys in the Band,2020,6.7,average,Recommended
All About Nina,2018,7.8,good,Recommended
Fantastic Fungi,2019,5.8,average,Not Recommended
Hellbender,2022,5.3,average,Not Recommended
The Old Guard,2020,5.9,average,Not Recommended
Kurt Vonnegut: Unstuck in Time,2021,7.6,good,Recommended
Color Out of Space,2020,6.2,average,Not Recommended
Yellow Rose,2020,7.3,average,Recommended
The Peanut Butter Falcon,2019,7.6,good,Recommended
"Standing Up, Falling Down",2020,6.6,average,Recommended
Double Lover,2018,6.0,average,Not Recommended
The Cleaners,2018,5.8,average,Not Recommended
The Day Shall Come,2019,6.2,average,Not Recommended
War Pony,2023,7.8,good,Recommended
What Josiah Saw,2022,6.3,average,Not Recommended
Operation Varsity Blues: The College Admissions Scandal,2021,7.3,average,Recommended
Sicilian Ghost Story,2018,6.0,average,Not Recommended
Violation,2021,4.7,bad,Not Recommended
Mohawk,2018,5.8,average,Not Recommended
Handling the Undead,2024,5.3,average,Not Recommended
"Blind Willow, Sleeping Woman",2023,5.0,average,Not Recommended
Old Henry,2021,7.1,average,Recommended
God's Creatures,2022,6.0,average,Not Recommended
Only the Animals,2021,6.6,average,Recommended
Eating Animals,2018,8.0,good,Recommended
Censor,2021,6.1,average,Not Recommended
The Miseducation of Cameron Post,2018,6.7,average,Recommended
Rocketman,2019,7.4,average,Recommended
Monsoon,2020,9.7,good,Recommended
Evil Dead Rise,2023,6.9,average,Recommended
How to Build a Girl,2020,6.0,average,Not Recommended
White Building,2023,6.5,average,Recommended
Charli XCX: Alone Together,2022,7.7,good,Recommended
The Vigil,2021,5.7,average,Not Recommended
I Am Greta,2020,8.9,good,Recommended
Penguins,2019,7.1,average,Recommended
Julia,2021,7.3,average,Recommended
This Is Not Berlin,2019,5.8,average,Not Recommended
The Dry,2021,6.6,average,Recommended
Blockers,2018,6.2,average,Not Recommended
Green Book,2018,8.0,good,Recommended
The Animal Kingdom,2024,5.7,average,Not Recommended
Of an Age,2023,6.4,average,Not Recommended
The Mole Agent,2020,7.2,average,Recommended
Boy Erased,2018,7.2,average,Recommended
Jingle Jangle: A Christmas Journey,2020,8.9,good,Recommended
Beirut,2018,6.3,average,Not Recommended
Dark River,2018,6.6,average,Recommended
Bodies Bodies Bodies,2022,5.8,average,Not Recommended
Togo,2019,7.0,average,Recommended
Blue Story,2020,6.8,average,Recommended
What Will People Say,2018,6.6,average,Recommended
The Trip to Greece,2020,5.7,average,Not Recommended
Gabriel and the Mountain,2018,7.3,average,Recommended
Moffie,2021,6.9,average,Recommended
What They Had,2018,6.7,average,Recommended
Leto,2019,7.6,good,Recommended
The Boy from Medellín,2021,4.5,bad,Not Recommended
Lover for a Day,2018,7.7,good,Recommended
Tenet,2020,7.4,average,Recommended
The Eyes of Tammy Faye,2021,6.1,average,Not Recommended
One Piece Film: Red,2022,7.0,average,Recommended
Climax,2019,7.2,average,Recommended
Finding 'Ohana,2021,6.5,average,Recommended
The Death of Dick Long,2019,6.1,average,Not Recommended
Huda's Salon,2022,6.0,average,Not Recommended
Femme,2024,7.5,good,Recommended
Spider-Man: Far from Home,2019,7.5,good,Recommended
Tell Me Who I Am,2019,7.4,average,Recommended
Depraved,2019,6.6,average,Recommended
Echo In the Canyon,2019,8.2,good,Recommended
Mona Lisa and the Blood Moon,2022,5.7,average,Not Recommended
Greener Grass,2019,5.3,average,Not Recommended
Selah and The Spades,2020,4.0,bad,Not Recommended
Blood Relatives,2022,6.0,average,Not Recommended
The Greatest Night in Pop,2024,6.8,average,Recommended
The Old Oak,2024,7.0,average,Recommended
The Mortuary Collection,2020,6.5,average,Recommended
The Deepest Breath,2023,7.4,average,Recommended
Here Before,2022,6.3,average,Not Recommended
The Drop,2023,7.5,good,Recommended
One Life,2024,7.6,good,Recommended
Fahrenheit 11/9,2018,4.9,bad,Not Recommended
Happiest Season,2020,7.4,average,Recommended
Jim Henson Idea Man,2024,6.9,average,Recommended
The Passengers of the Night,2023,6.2,average,Not Recommended
"LaRoy, Texas",2024,6.0,average,Not Recommended
The Outfit,2022,7.1,average,Recommended
Cha Cha Real Smooth,2022,6.6,average,Recommended
22 July,2018,6.8,average,Recommended
Stephen Curry: Underrated,2023,7.7,good,Recommended
The Elephant Queen,2019,6.3,average,Not Recommended
The Pink Cloud,2022,7.3,average,Recommended
The Harder They Fall,2021,6.5,average,Recommended
The Sadness,2022,6.7,average,Recommended
BuyBust,2018,7.3,average,Recommended
The Night,2021,5.7,average,Not Recommended
First Match,2018,7.5,good,Recommended
Paper Spiders,2021,7.6,good,Recommended
I Used to Go Here,2020,5.7,average,Not Recommended
"Family Romance, LLC",2020,5.8,average,Not Recommended
Class Action Park,2020,6.5,average,Recommended
Lamb,2021,6.2,average,Not Recommended
Fighting with My Family,2019,7.1,average,Recommended
Mr. Jones,2020,3.7,bad,Not Recommended
Dovlatov,2018,6.5,average,Recommended
Manhunt,2018,5.1,average,Not Recommended
Borat Subsequent Moviefilm,2020,5.7,average,Not Recommended
Ask Dr. Ruth,2019,7.8,good,Recommended
Tiger Stripes,2024,9.3,good,Recommended
And Then We Danced,2020,7.3,average,Recommended
Everything Went Fine,2023,5.7,average,Not Recommended
Prospect,2018,6.8,average,Recommended
Out Stealing Horses,2020,6.4,average,Not Recommended
Early Man,2018,6.3,average,Not Recommended
In a Violent Nature,2024,4.8,bad,Not Recommended
The Wave,2020,7.2,average,Recommended
Deerskin,2020,6.6,average,Recommended
Downfall: The Case Against Boeing,2022,7.5,good,Recommended
The Water Man,2021,5.0,average,Not Recommended
Richard Jewell,2019,7.5,good,Recommended
The Night House,2021,6.7,average,Recommended
American Animals,2018,7.6,good,Recommended
Leave the World Behind,2023,4.7,bad,Not Recommended
Everybody Knows,2019,7.1,average,Recommended
The Third Murder,2018,6.8,average,Recommended
Language Lessons,2021,7.8,good,Recommended
Police Story 2 (1988),2019,7.6,good,Recommended
The Willoughbys,2020,6.6,average,Recommended
A Vigilante,2019,4.7,bad,Not Recommended
Avengers: Infinity War,2018,8.4,good,Recommended
Juniper,2023,6.3,average,Not Recommended
Sometimes I Think About Dying,2024,6.3,average,Not Recommended
Missing Link,2019,6.9,average,Recommended
Dream Horse,2021,6.5,average,Recommended
Active Measures,2018,7.5,good,Recommended
The Innocent,2023,6.0,average,Not Recommended
The Boy Who Harnessed the Wind,2019,7.7,good,Recommended
The Party's Just Beginning,2018,7.9,good,Recommended
Enola Holmes,2020,2.9,bad,Not Recommended
Omen,2024,4.6,bad,Not Recommended
Come True,2021,6.4,average,Not Recommended
A Quiet Place: Day One,2024,5.9,average,Not Recommended
No Time to Die,2021,6.3,average,Not Recommended
Out of Darkness,2024,5.1,average,Not Recommended
Rafiki,2019,7.0,average,Recommended
Brats,2024,7.2,average,Recommended
