Title,Release Date,Rating,Review,Recommendation
Divine Love,2020,8.6,good,Recommended
Spider-Man: Across the Spider-Verse,2023,8.4,good,Recommended
Welcome to Chechnya,2020,7.7,good,Recommended
Showing Up,2023,6.5,average,Recommended
One Cut of the Dead,2019,7.7,good,Recommended
Museo,2018,7.3,average,Recommended
Nobody's Fool,2018,7.8,good,Recommended
I Saw the TV Glow,2024,6.0,average,Not Recommended
May December,2023,7.0,average,Recommended
Vitalina Varela,2020,5.6,average,Not Recommended
Happening,2022,7.0,average,Recommended
The Lost Daughter,2021,6.2,average,Not Recommended
Black Mother,2019,4.3,bad,Not Recommended
The Wild Pear Tree,2019,7.9,good,Recommended
Aladdin,2019,8.6,good,Recommended
Wheel of Fortune and Fantasy,2021,7.4,average,Recommended
The Son,2022,8.7,good,Recommended
American Factory,2019,7.6,good,Recommended
First Reformed,2018,7.4,average,Recommended
Crip Camp: A Disability Revolution,2020,7.4,average,Recommended
One Fine Morning,2022,6.7,average,Recommended
Atlantics,2019,6.4,average,Not Recommended
The Green Knight,2021,6.3,average,Not Recommended
The First Wave,2021,5.4,average,Not Recommended
Tea with the Dames,2018,7.5,good,Recommended
Athlete A,2020,6.9,average,Recommended
West Side Story,2021,7.7,good,Recommended
Birds of Passage,2019,7.8,good,Recommended
To the Ends of the Earth,2020,7.3,average,Recommended
Ash Is Purest White,2019,7.2,average,Recommended
The Delinquents,2023,6.9,average,Recommended
The Rider,2018,7.5,good,Recommended
Eighth Grade,2018,7.9,good,Recommended
The Novice,2021,6.5,average,Recommended
Support the Girls,2018,6.7,average,Recommended
Alcarràs,2023,8.9,good,Recommended
"Hale County This Morning, This Evening",2018,6.1,average,Not Recommended
The Taste of Things,2023,7.5,good,Recommended
In Front of Your Face,2022,6.8,average,Recommended
Passing,2021,6.6,average,Recommended
In the Same Breath,2021,4.9,bad,Not Recommended
Atlantis,2021,6.8,average,Recommended
Honeyland,2019,8.5,good,Recommended
The Beasts,2023,7.0,average,Recommended
Oasis Knebworth 1996,2021,7.7,good,Recommended
One Child Nation,2019,6.8,average,Recommended
Identifying Features,2021,7.1,average,Recommended
The Wonderful Story of Henry Sugar,2023,7.5,good,Recommended
Decision to Leave,2022,7.7,good,Recommended
The Fabelmans,2022,7.4,average,Recommended
Beanpole,2020,6.6,average,Recommended
Won't You Be My Neighbor?,2018,8.4,good,Recommended
Sing Sing,2024,6.5,average,Recommended
The Eternal Memory,2023,7.9,good,Recommended
EO,2022,7.3,average,Recommended
Beyond Utopia,2023,9.2,good,Recommended
Black Is King,2020,8.6,good,Recommended
In the Shadow of the Moon,2019,6.9,average,Recommended
Fire of Love,2022,7.5,good,Recommended
76 Days,2020,7.3,average,Recommended
Shin Ultraman,2023,7.7,good,Recommended
"Are You There God? It's Me, Margaret",2023,7.5,good,Recommended
